id,title,chapter,difficulty,tags,path,refs
Q021,A* 与 Dijkstra 有什么区别？Heuristic 什么时候保证最优？,3,3,control|manipulation|planning|search,docs/questions/03-planning-control-manipulation/Q021.md,R17
Q022,为什么导航规划器不一定走几何最短路径？,3,3,control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q022.md,R18
Q023,Costmap 中 inflation layer 的作用是什么？,3,3,control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q023.md,R17
Q024,RRT 与 RRT* 有什么区别？为什么高维机械臂喜欢采样规划？,3,4,control|manipulation|motion-planning|planning,docs/questions/03-planning-control-manipulation/Q024.md,R18
Q025,MoveIt 的典型 motion planning pipeline 是什么？,3,3,control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q025.md,R18
Q026,PID 的三个项分别解决什么？为什么 D 项对噪声敏感？,3,3,control|manipulation|pid|planning,docs/questions/03-planning-control-manipulation/Q026.md,
Q027,Position、Velocity、Torque Control 有什么区别？,3,3,control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q027.md,
Q028,什么是 Impedance Control？为什么适合接触操作？,3,4,control|impedance-control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q028.md,
Q029,Force Control 与 Impedance Control 有什么区别？,3,4,control|impedance-control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q029.md,
Q030,为什么端到端策略仍常配 classical low-level controller？,3,3,control|manipulation|planning,docs/questions/03-planning-control-manipulation/Q030.md,
Q031,Behavior Cloning 的目标函数是什么？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q031.md,
Q032,BC 为什么会产生 compounding error？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q032.md,
Q033,DAgger 如何缓解 distribution shift？,4,3,behavior-cloning|dagger|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q033.md,R16|R12c
Q034,机器人模仿学习数据有哪些采集方式？如何选？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q034.md,R19|R12|R12b
Q035,Demonstration 是越多越好吗？如何定义数据覆盖？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q035.md,R12|R12b
Q036,为什么 teleoperation demonstrations 会 non-stationary？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q036.md,R2|R12|R12b
Q037,多模态动作下，MSE Behavior Cloning 为什么会输出“不存在的平均动作”？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q037.md,
Q038,为什么 temporal context 对 manipulation 很重要？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q038.md,
Q039,Cross-task / co-training 为什么可能比单任务数据更有效？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q039.md,R2
Q040,如果给你 1000 小时机器人数据预算，如何分配？,4,3,behavior-cloning|imitation-learning|robot-data,docs/questions/04-imitation-learning-data/Q040.md,R19
Q041,MDP 的五元组是什么？机器人为什么经常其实是 POMDP？,5,3,reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q041.md,R19
Q042,Bellman Equation 表达了什么？,5,3,reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q042.md,
Q043,Value Iteration 与 Policy Iteration 有什么区别？,5,3,reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q043.md,
Q044,PPO 的 loss 包含哪些部分？Clip 的目的是什么？,5,4,ppo|reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q044.md,R14|R11
Q045,为什么 PPO 在 locomotion 与大规模仿真中很常见？,5,4,ppo|reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q045.md,R11|R14|R12|R12b
Q046,SAC 与 PPO 的核心区别是什么？,5,4,ppo|reinforcement-learning|robot-learning|sac|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q046.md,R14|R11|R15
Q047,Model-based 与 Model-free RL 的区别是什么？,5,3,reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q047.md,
Q048,机器人 Reward Function 如何设计？如何避免 reward hacking？,5,3,reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q048.md,R19
Q049,Domain Randomization 的目标是什么？哪些参数值得随机？,5,3,domain-randomization|reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q049.md,R11
Q050,Sim2Real gap 主要来自哪些层？,5,5,reinforcement-learning|robot-learning|sim2real,docs/questions/05-reinforcement-learning-sim2real/Q050.md,R11
Q051,如果从零设计一个 VLA，你会怎么设计？,6,5,robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q051.md,
Q052,VLM 与 VLA 的本质差别是什么？,6,4,robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q052.md,
Q053,RT-2 的核心思想是什么？为什么它具有里程碑意义？,6,4,robot-foundation-model|rt-2|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q053.md,R1
Q054,OpenVLA 的核心架构与价值是什么？,6,4,openvla|robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q054.md,R5
Q055,Octo 的设计思想与 OpenVLA 有什么不同？,6,4,octo|openvla|robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q055.md,R4|R5|R13
Q056,π0 为什么引入 Flow Matching Action Expert？,6,5,flow-matching|pi0|robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q056.md,R6|R2|R7
Q057,什么是 Cross-Embodiment Learning？,6,5,cross-embodiment|robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q057.md,R4|R6|R7|R13
Q058,不同机器人 action dimension 不同，VLA 如何统一？,6,4,robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q058.md,R19|R2
Q059,为什么机器人 Foundation Model 不能简单照搬 LLM Scaling Law？,6,4,robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q059.md,R19
Q060,VLA 的“泛化”应该怎样分层评估？,6,5,robot-foundation-model|vla|vlm,docs/questions/06-vlm-vla-foundation-models/Q060.md,R7
Q061,ACT 为什么要预测 Action Chunk？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q061.md,R2
Q062,ACT 为什么使用 CVAE？Latent z 在表示什么？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q062.md,R2
Q063,ACT 的 Temporal Aggregation 是什么？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q063.md,R2
Q064,Diffusion Policy 为什么适合机器人动作？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q064.md,R3|R19
Q065,Diffusion Policy 的训练目标是什么？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q065.md,R3
Q066,Diffusion Policy 最大的部署瓶颈是什么？如何加速？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q066.md,R3
Q067,Flow Matching 与 Diffusion 有什么区别？,7,5,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q067.md,R6|R3|R7
Q068,Action Chunk 为什么不能无限长？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q068.md,R2
Q069,Receding Horizon Control 为什么和生成式动作策略很搭？,7,4,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q069.md,R3
Q070,ACT、Diffusion、Flow Matching 三者应该怎么选？,7,5,act|action-modeling|diffusion-policy|flow-matching,docs/questions/07-act-diffusion-flow/Q070.md,R2|R3|R6|R7
Q071,VLA 与 World Model 两条路线有什么区别？,8,5,long-horizon|memory|vla|world-model,docs/questions/08-world-model-memory-long-horizon/Q071.md,R10|R10b
Q072,Model-free VLA 的优势与局限是什么？,8,4,long-horizon|memory|vla|world-model,docs/questions/08-world-model-memory-long-horizon/Q072.md,
Q073,World Model 最大的失败模式是什么？,8,5,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q073.md,R10|R10b
Q074,什么是 Latent World Model？,8,5,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q074.md,R10|R10b
Q075,World Model 如何用于 Action Planning？,8,5,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q075.md,R2|R10|R10b
Q076,为什么长时任务需要 Hierarchical Policy？,8,4,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q076.md,
Q077,机器人为什么需要 Memory？,8,4,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q077.md,R8|R19
Q078,视觉-语言推理怎样真正 Ground 到物理动作？,8,4,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q078.md,
Q079,Cosmos 这类 World Foundation Model 在机器人里能做什么？,8,4,long-horizon|memory|world-model,docs/questions/08-world-model-memory-long-horizon/Q079.md,R10|R19|R10b
Q080,VLA 和 World Model 最终会二选一吗？,8,5,long-horizon|memory|vla|world-model,docs/questions/08-world-model-memory-long-horizon/Q080.md,R7|R10|R10b
Q081,Isaac Sim 与 Isaac Lab 有什么区别？,9,3,data-engineering|deployment|isaac-lab|simulation,docs/questions/09-simulation-data-deployment/Q081.md,R11|R12
Q082,MuJoCo、Isaac、Gazebo 应如何选？,9,3,data-engineering|deployment|isaac-lab|simulation,docs/questions/09-simulation-data-deployment/Q082.md,R11|R12
Q083,为什么并行仿真对机器人 RL 很重要？,9,3,data-engineering|deployment|simulation,docs/questions/09-simulation-data-deployment/Q083.md,R11|R19|R12
Q084,一个专业机器人数据集应该保存哪些字段？,9,3,data-engineering|deployment|robot-data|simulation,docs/questions/09-simulation-data-deployment/Q084.md,R12|R19|R11
Q085,为什么时间同步对机器人学习特别重要？,9,3,data-engineering|deployment|simulation,docs/questions/09-simulation-data-deployment/Q085.md,R19|R11|R12
Q086,Absolute Action 与 Relative Action 有什么区别？,9,3,data-engineering|deployment|simulation,docs/questions/09-simulation-data-deployment/Q086.md,R2|R11|R12
Q087,为什么训练 control rate 与部署 control rate 必须匹配？,9,3,data-engineering|deployment|simulation,docs/questions/09-simulation-data-deployment/Q087.md,R11|R12
Q088,Robot Policy 应该怎样评估？为什么 Success Rate 不够？,9,3,data-engineering|deployment|simulation,docs/questions/09-simulation-data-deployment/Q088.md,R11|R12
Q089,什么是 Real-time Inference Budget？如何设计异步执行？,9,3,data-engineering|deployment|simulation,docs/questions/09-simulation-data-deployment/Q089.md,R11|R12
Q090,LeRobot 的意义是什么？,9,3,data-engineering|deployment|lerobot|simulation,docs/questions/09-simulation-data-deployment/Q090.md,R12|R12b|R11
Q091,系统设计：设计一个“整理桌面”的具身机器人系统。,10,5,frontier|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q091.md,R19
Q092,系统设计：机器人学习插 USB，BC、Diffusion、RL 怎么组合？,10,5,diffusion-policy|frontier|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q092.md,R19|R3
Q093,“如何改进当前 VLA？”应该怎样系统回答？,10,5,frontier|robot-foundation-model|system-design|vla,docs/questions/10-system-design-frontier/Q093.md,
Q094,VLA + RL 应该如何结合？,10,5,frontier|robot-foundation-model|system-design|vla,docs/questions/10-system-design-frontier/Q094.md,
Q095,为什么失败数据可能比成功数据更有价值？,10,5,frontier|robot-data|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q095.md,R7
Q096,Human Video 如何转化为 Robot Learning Data？,10,5,frontier|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q096.md,R7|R9
Q097,Humanoid Foundation Model 与普通机械臂 VLA 有什么额外难点？,10,5,frontier|humanoid|robot-foundation-model|system-design|vla,docs/questions/10-system-design-frontier/Q097.md,R9|R9b
Q098,2026 具身 Foundation Model 的三条明显趋势是什么？,10,5,frontier|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q098.md,R7|R8|R10|R9b|R10b|R12c
Q099,“你做过最困难的机器人问题是什么？”怎样回答最有说服力？,10,5,frontier|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q099.md,R19
Q100,终局题：10 台机器人、1000 GPU、6 个月，如何构建通用机器人模型？,10,5,frontier|robot-foundation-model|system-design,docs/questions/10-system-design-frontier/Q100.md,R19|R7|R9b|R10b|R12c|R13
