id,title,chapter,difficulty,tags,path
Q026,为什么原始 Transformer 使用固定 Sin/Cos？,3,2/5,position,docs/questions/chapter-03/Q026.md
Q027,Learned Position Embedding 有什么限制？,3,2/5,position,docs/questions/chapter-03/Q027.md
Q028,Absolute Position 与 Relative Position 的区别是什么？,3,3/5,position,docs/questions/chapter-03/Q028.md
Q029,RoPE 的核心数学是什么？,3,4/5,position,docs/questions/chapter-03/Q029.md
Q030,为什么 RoPE 通常作用在 Q/K 而不是 V？,3,3/5,position,docs/questions/chapter-03/Q030.md
Q031,RoPE 为什么会遇到长上下文外推问题？,3,4/5,position;systems,docs/questions/chapter-03/Q031.md
Q032,ALiBi 与 RoPE 的思想有什么区别？,3,3/5,position,docs/questions/chapter-03/Q032.md
Q033,Position Interpolation 的基本思想是什么？,3,3/5,position,docs/questions/chapter-03/Q033.md
Q034,技术上支持 64K 与真正有效 64K 有什么区别？,3,4/5,transformer,docs/questions/chapter-03/Q034.md
Q035,Pre-LN 与 Post-LN 有什么区别？,3,3/5,normalization,docs/questions/chapter-03/Q035.md
Q036,为什么现代 LLM 普遍偏向 Pre-Norm？,4,4/5,normalization,docs/questions/chapter-04/Q036.md
Q037,LayerNorm 到底沿哪个维度计算？,4,2/5,normalization,docs/questions/chapter-04/Q037.md
Q038,RMSNorm 与 LayerNorm 有什么区别？,4,3/5,normalization,docs/questions/chapter-04/Q038.md
Q039,FFN 为什么不可缺少？,4,2/5,ffn,docs/questions/chapter-04/Q039.md
Q040,为什么经典 Transformer 常用 d_ff≈4d_model？,4,3/5,transformer,docs/questions/chapter-04/Q040.md
Q041,GELU 为什么比 ReLU 常见？,4,2/5,ffn,docs/questions/chapter-04/Q041.md
Q042,SwiGLU 是什么，为什么现代 LLM 常用？,4,3/5,ffn,docs/questions/chapter-04/Q042.md
Q043,为什么深层 Transformer 对初始化特别敏感？,4,4/5,training,docs/questions/chapter-04/Q043.md
Q044,为什么 Input Embedding 与 LM Head 经常 Weight Tying？,4,3/5,transformer,docs/questions/chapter-04/Q044.md
Q045,Encoder-only、Decoder-only、Encoder-Decoder 的本质区别？,5,2/5,inference,docs/questions/chapter-05/Q045.md
Q046,BERT 为什么可以双向？,5,2/5,bert-gpt,docs/questions/chapter-05/Q046.md
Q047,BERT 为什么用 MLM，而 GPT 用 CLM？,5,3/5,bert-gpt,docs/questions/chapter-05/Q047.md
Q048,BERT 的 NSP 是什么，为什么后来常被移除？,5,3/5,bert-gpt,docs/questions/chapter-05/Q048.md
Q049,GPT 的 Causal LM 训练目标是什么？,5,2/5,bert-gpt,docs/questions/chapter-05/Q049.md
Q050,为什么自回归模型训练时还能并行？,5,2/5,transformer,docs/questions/chapter-05/Q050.md
Q051,为什么 Decoder-only 成为通用 LLM 主流之一？,5,3/5,inference,docs/questions/chapter-05/Q051.md
Q052,Cross-Attention 为什么适合机器翻译？,5,3/5,attention,docs/questions/chapter-05/Q052.md
Q053,Teacher Forcing 是什么？,5,3/5,bert-gpt,docs/questions/chapter-05/Q053.md
Q054,Exposure Bias 是什么？,5,3/5,bert-gpt,docs/questions/chapter-05/Q054.md
Q055,Decoder LM 的 label 为什么必须 shift？,6,2/5,training;inference,docs/questions/chapter-06/Q055.md
Q056,Padding token 为什么不能参与 loss？,6,3/5,training,docs/questions/chapter-06/Q056.md
Q057,Transformer loss 变成 NaN，如何系统排查？,6,4/5,training,docs/questions/chapter-06/Q057.md
Q058,为什么训练早期常用 Learning Rate Warmup？,6,3/5,training,docs/questions/chapter-06/Q058.md
Q059,Adam 与 AdamW 的核心区别？,6,3/5,training,docs/questions/chapter-06/Q059.md
Q060,Gradient Clipping 为什么有用？,6,3/5,training,docs/questions/chapter-06/Q060.md
Q061,Gradient Accumulation 是否完全等价于大 Batch？,6,4/5,training,docs/questions/chapter-06/Q061.md
Q062,FP16 与 BF16 为什么训练表现不同？,6,3/5,training,docs/questions/chapter-06/Q062.md
Q063,训练正常但验证每次结果不同，先查什么？,6,2/5,transformer,docs/questions/chapter-06/Q063.md
Q064,Transformer 初始化不合理有哪些症状？,6,4/5,training,docs/questions/chapter-06/Q064.md
Q065,固定训练 FLOPs，模型更大还是 token 更多？,6,4/5,training,docs/questions/chapter-06/Q065.md
Q066,Transformer 多 GPU 有哪些并行方式？,6,4/5,training,docs/questions/chapter-06/Q066.md
Q067,Decoder-only LLM 的生成过程是什么？,6,2/5,inference,docs/questions/chapter-06/Q067.md
Q068,KV Cache 缓存了什么，为什么不缓存 Q？,7,3/5,inference,docs/questions/chapter-07/Q068.md
Q069,KV Cache 内存如何估算？,7,4/5,inference,docs/questions/chapter-07/Q069.md
Q070,为什么训练不需要像 decode 一样使用 KV Cache？,7,3/5,inference,docs/questions/chapter-07/Q070.md
Q071,Prefill 与 Decode 的瓶颈有什么不同？,7,4/5,inference,docs/questions/chapter-07/Q071.md
Q072,MHA、MQA、GQA 的区别？,7,3/5,inference,docs/questions/chapter-07/Q072.md
Q073,Greedy、Beam Search 与 Sampling 如何选择？,7,3/5,inference,docs/questions/chapter-07/Q073.md
Q074,Temperature、Top-k、Top-p 分别做什么？,7,2/5,inference,docs/questions/chapter-07/Q074.md
Q075,为什么模型会陷入重复生成？,7,3/5,transformer,docs/questions/chapter-07/Q075.md
Q076,LLM Serving 的关键 latency 指标有哪些？,7,3/5,inference,docs/questions/chapter-07/Q076.md
Q077,Continuous Batching 为什么适合 LLM？,7,4/5,inference,docs/questions/chapter-07/Q077.md
Q078,PagedAttention 解决什么问题？,7,4/5,attention;inference,docs/questions/chapter-07/Q078.md
Q079,Speculative Decoding 为什么能加速且保持目标分布？,7,4/5,inference;coding,docs/questions/chapter-07/Q079.md
Q080,FlashAttention 到底优化了什么？,7,3/5,attention;systems,docs/questions/chapter-07/Q080.md
Q081,FlashAttention 为什么不需要存完整 Attention Matrix？,8,4/5,attention;systems,docs/questions/chapter-08/Q081.md
Q082,Online Softmax 如何分块仍保持精确？,8,5/5,attention,docs/questions/chapter-08/Q082.md
Q083,Sparse Attention 如何降低复杂度？,8,4/5,attention;systems,docs/questions/chapter-08/Q083.md
Q084,Linear Attention 与 FlashAttention 最大区别？,8,3/5,attention;systems,docs/questions/chapter-08/Q084.md
Q085,长上下文 Transformer 至少有哪些瓶颈？,8,4/5,systems,docs/questions/chapter-08/Q085.md
Q086,Sliding Window Attention 的优势与损失？,8,3/5,attention;systems,docs/questions/chapter-08/Q086.md
Q087,MoE 为什么能在相近每-token FLOPs 下增加参数量？,8,3/5,training;systems,docs/questions/chapter-08/Q087.md
Q088,MoE 最大训练难点是什么？,8,4/5,systems,docs/questions/chapter-08/Q088.md
Q089,Quantization 为什么对 Transformer 推理重要？,8,4/5,systems,docs/questions/chapter-08/Q089.md
Q090,Coding：从零实现 Multi-Head Attention,8,3/5,attention;coding,docs/questions/chapter-08/Q090.md
Q091,Coding：下面的 Attention 有哪些 bug？,9,3/5,attention;coding,docs/questions/chapter-09/Q091.md
Q092,Coding：给 Transformer 加 KV Cache,9,4/5,inference;coding,docs/questions/chapter-09/Q092.md
Q093,给你几百行 Transformer 代码，如何系统 Debug？,9,4/5,coding,docs/questions/chapter-09/Q093.md
Q094,Coding：如何验证 causal mask 没有未来泄漏？,9,3/5,attention;coding,docs/questions/chapter-09/Q094.md
Q095,Coding：如何验证 KV Cache 实现正确？,9,4/5,inference;coding,docs/questions/chapter-09/Q095.md
Q096,Coding：为什么 transpose 后 view 经常报错或 silently 出问题？,9,3/5,bert-gpt;coding,docs/questions/chapter-09/Q096.md
Q097,Coding：如何处理全 Mask 行导致的 NaN？,9,4/5,attention;coding,docs/questions/chapter-09/Q097.md
Q098,Coding：如何做 Tiny Overfit Test？,9,3/5,coding,docs/questions/chapter-09/Q098.md
Q099,Coding：如何为 Attention 写 Shape Assertions？,9,3/5,attention;coding,docs/questions/chapter-09/Q099.md
Q100,System Design：用 Transformer 设计文本分类系统,9,3/5,system-design,docs/questions/chapter-09/Q100.md
