id,title,chapter,chapter_title,type,level,priority,path,refs
Q029,KL 系数 β 太大或太小会怎样？如何自适应？,3,PPO / GAE / 经典 RLHF,系统设计,L2,normal,docs/03-ppo-gae/q029-adaptive-kl-beta.md,"P1,P3,P14"
Q030,PPO 在 LLM 后训练中最大的工程问题是什么？,3,PPO / GAE / 经典 RLHF,系统设计,L3,normal,docs/03-ppo-gae/q030-ppo-engineering-cost.md,"P1,P3,P14"
Q031,DPO loss 怎么写？四个 log-prob 项各在做什么？,4,DPO 与 Offline Preference Optimization,高频题,L3,high,docs/04-dpo-family/q031-dpo-loss.md,P4
Q032,DPO 如何从 KL-regularized RLHF 推导出来？,4,DPO 与 Offline Preference Optimization,原理推导,L4,high,docs/04-dpo-family/q032-dpo-derivation.md,P4
Q033,为什么 DPO 比 PPO 简单很多？,4,DPO 与 Offline Preference Optimization,高频题,L2,normal,docs/04-dpo-family/q033-why-dpo-simpler-than-ppo.md,P4
Q034,公开真题：PPO 与 DPO 怎么选？,4,DPO 与 Offline Preference Optimization,公开真题,L3,high,docs/04-dpo-family/q034-ppo-vs-dpo.md,"I6,I10,P4"
Q035,DPO 的 offline distribution shift 问题是什么？,4,DPO 与 Offline Preference Optimization,原理推导,L3,normal,docs/04-dpo-family/q035-dpo-offline-distribution-shift.md,P4
Q036,DPO 为什么也可能 overfit 或出现 length bias？,4,DPO 与 Offline Preference Optimization,原理推导,L3,normal,docs/04-dpo-family/q036-dpo-overfit-length-bias.md,P4
Q037,DPO 中 β 应如何理解？,4,DPO 与 Offline Preference Optimization,原理推导,L3,normal,docs/04-dpo-family/q037-dpo-beta.md,P4
Q038,KTO 与 DPO 的数据要求有何差异？,4,DPO 与 Offline Preference Optimization,高频题,L2,normal,docs/04-dpo-family/q038-kto-vs-dpo.md,"P5,P4"
Q039,ORPO 为什么可以 reference-free？,4,DPO 与 Offline Preference Optimization,高频题,L2,normal,docs/04-dpo-family/q039-orpo-reference-free.md,"P6,P4"
Q040,SimPO 相比 DPO 改了什么？为什么使用平均 log probability？,4,DPO 与 Offline Preference Optimization,高频题,L3,normal,docs/04-dpo-family/q040-simpo-average-logprob.md,"P7,P4"
Q041,公开真题：PPO 与 GRPO 最大区别是什么？,5,GRPO,公开真题,L2,high,docs/05-grpo/q041-ppo-vs-grpo.md,"I3,I11,P2,P8"
Q042,为什么 group-relative baseline 能替代 Critic？,5,GRPO,原理推导,L3,high,docs/05-grpo/q042-group-relative-baseline.md,"P8,P2"
Q043,GRPO 去掉 Critic 后，真正的成本转移到了哪里？,5,GRPO,系统设计,L3,normal,docs/05-grpo/q043-grpo-cost-transfer.md,"P2,P8"
Q044,公开真题：Sequence-level reward 如何传到 token？credit assignment 有什么问题？,5,GRPO,公开真题,L3,high,docs/05-grpo/q044-sequence-reward-token-credit.md,"I1,I8,P2,P8"
Q045,为什么 group 内全对或全错时 GRPO 基本没有有效梯度？,5,GRPO,原理推导,L3,normal,docs/05-grpo/q045-grpo-all-correct-all-wrong.md,"P9,P2,P8"
Q046,Group size G 越大越好吗？,5,GRPO,系统设计,L3,normal,docs/05-grpo/q046-grpo-group-size.md,"P2,P8"
Q047,公开真题：πθ、πold、πrollout 分别是什么？为什么工程中可能不相等？,5,GRPO,公开真题,L3,normal,docs/05-grpo/q047-policy-old-rollout.md,"I6,P2,P8"
Q048,公开真题：batch 很大时为什么 GRPO 会越来越 off-policy？,5,GRPO,公开真题,L4,normal,docs/05-grpo/q048-grpo-large-batch-off-policy.md,"I6,P2,P8"
Q049,如何缓解 policy lag？同步 RL 与异步 RL 各自适合什么？,5,GRPO,系统设计,L4,normal,docs/05-grpo/q049-policy-lag-sync-async.md,"P2,P8"
Q050,为什么 GRPO 特别适合数学/代码等 verifiable tasks？,5,GRPO,原理推导,L2,normal,docs/05-grpo/q050-grpo-verifiable-tasks.md,"P2,P8"
Q051,公开真题：DAPO 相比 GRPO 做了哪些核心改进？,6,DAPO / GSPO,公开真题,L3,high,docs/06-dapo-gspo/q051-dapo-vs-grpo.md,"I3,I7,P9,P10"
Q052,为什么 DAPO 需要 Clip-Higher？,6,DAPO / GSPO,原理推导,L4,normal,docs/06-dapo-gspo/q052-dapo-clip-higher.md,"P9,P10"
Q053,公开真题：Dynamic Sampling 为什么有效？,6,DAPO / GSPO,公开真题,L3,normal,docs/06-dapo-gspo/q053-dapo-dynamic-sampling.md,"I7,P9,P10"
Q054,长 CoT 下 sequence-level normalization 为什么可能产生长度偏差？,6,DAPO / GSPO,原理推导,L4,normal,docs/06-dapo-gspo/q054-long-cot-length-normalization.md,"P9,P10"
Q055,Token-level Policy Gradient Loss 解决什么？,6,DAPO / GSPO,原理推导,L4,normal,docs/06-dapo-gspo/q055-token-level-policy-gradient.md,"P9,P10"
Q056,Overlong Reward Shaping 为什么比硬截断惩罚更稳？,6,DAPO / GSPO,原理推导,L3,normal,docs/06-dapo-gspo/q056-overlong-reward-shaping.md,"P9,P10"
Q057,公开真题：GSPO 与 GRPO 的核心区别是什么？,6,DAPO / GSPO,公开真题,L4,high,docs/06-dapo-gspo/q057-gspo-vs-grpo.md,"I3,I11,P10,P9"
Q058,GSPO 为什么需要 1/|y| 的长度归一化？,6,DAPO / GSPO,原理推导,L4,normal,docs/06-dapo-gspo/q058-gspo-length-normalization.md,"P10,P9"
Q059,公开真题：为什么 GSPO 对 MoE routing mismatch 更友好？,6,DAPO / GSPO,公开真题,L5,normal,docs/06-dapo-gspo/q059-gspo-moe-routing.md,"I8,P10,P9"
Q060,DAPO 与 GSPO 应如何比较？它们不是同一层面的改进,6,DAPO / GSPO,系统设计,L5,normal,docs/06-dapo-gspo/q060-dapo-vs-gspo.md,"P9,P10"
Q061,为什么 Online RL 可能提升 reasoning，而 SFT 不一定？,7,Reasoning RL、Verifier 与 Credit Assignment,原理推导,L3,normal,docs/07-reasoning-verifier/q061-online-rl-reasoning.md,"P8,P9"
Q062,RL 是“创造能力”还是“激活已有能力”？,7,Reasoning RL、Verifier 与 Credit Assignment,系统设计,L4,normal,docs/07-reasoning-verifier/q062-rl-create-vs-elicit.md,"P8,P9"
Q063,为什么数学/代码 RL 比 open-ended chat RL 更容易？,7,Reasoning RL、Verifier 与 Credit Assignment,原理推导,L2,normal,docs/07-reasoning-verifier/q063-verifiable-vs-open-ended-rl.md,"P8,P9"
Q064,Process Reward 一定比 Outcome Reward 好吗？,7,Reasoning RL、Verifier 与 Credit Assignment,系统设计,L3,normal,docs/07-reasoning-verifier/q064-process-vs-outcome-reward.md,"P8,P9"
Q065,Sparse Reward 如何改善？,7,Reasoning RL、Verifier 与 Credit Assignment,系统设计,L3,normal,docs/07-reasoning-verifier/q065-sparse-reward.md,"P8,P9"
Q066,如何避免模型把“更长 CoT”误学成“更高能力”？,7,Reasoning RL、Verifier 与 Credit Assignment,系统设计,L3,normal,docs/07-reasoning-verifier/q066-cot-length-vs-capability.md,"P8,P9"
Q067,Entropy collapse 是什么？为什么 GRPO/DAPO 特别关注？,7,Reasoning RL、Verifier 与 Credit Assignment,原理推导,L3,normal,docs/07-reasoning-verifier/q067-entropy-collapse.md,"P9,P8"
Q068,为什么只看训练 reward 非常危险？,7,Reasoning RL、Verifier 与 Credit Assignment,高频题,L2,normal,docs/07-reasoning-verifier/q068-train-reward-is-not-enough.md,"P8,P9"
Q069,Rule-based verifier 也会被 hacking 吗？,7,Reasoning RL、Verifier 与 Credit Assignment,系统设计,L3,normal,docs/07-reasoning-verifier/q069-verifier-hacking.md,"P8,P9"
Q070,如何设计一个“好 Reward”？,7,Reasoning RL、Verifier 与 Credit Assignment,系统设计,L4,normal,docs/07-reasoning-verifier/q070-good-reward-design.md,"P8,P9"
Q071,公开真题：一个完整 GRPO 数据流是什么？,8,RL 系统、Rollout 与分布式训练,公开真题,L3,high,docs/08-rl-systems/q071-grpo-dataflow.md,"I6,P11,P12,P13,R1"
Q072,为什么 RL rollout 比 SFT teacher-forcing 贵？,8,RL 系统、Rollout 与分布式训练,原理推导,L2,normal,docs/08-rl-systems/q072-rollout-vs-teacher-forcing-cost.md,"P11,P12,P13,R1"
Q073,公开真题：rollout 长尾为什么降低 GPU 利用率？,8,RL 系统、Rollout 与分布式训练,公开真题,L3,normal,docs/08-rl-systems/q073-rollout-tail-gpu-utilization.md,"I7,I8,P11,P12,P13,R1"
Q074,rollout 长尾有哪些工程解法？,8,RL 系统、Rollout 与分布式训练,系统设计,L4,normal,docs/08-rl-systems/q074-rollout-tail-solutions.md,"P11,P12,P13,R1"
Q075,vLLM 为什么适合 RL rollout？,8,RL 系统、Rollout 与分布式训练,高频题,L2,normal,docs/08-rl-systems/q075-vllm-for-rollout.md,"P13,P11,P12,R1"
Q076,公开真题：FSDP 与 DDP 的核心区别？,8,RL 系统、Rollout 与分布式训练,公开真题,L3,normal,docs/08-rl-systems/q076-fsdp-vs-ddp.md,"I1,I7,P12,P11,P13,R1"
Q077,公开真题：ZeRO-1/2/3 分别 shard 什么？,8,RL 系统、Rollout 与分布式训练,公开真题,L2,normal,docs/08-rl-systems/q077-zero-stages.md,"I1,P11,P12,P13,R1"
Q078,为什么 PPO/GRPO 系统显存比 SFT 更复杂？,8,RL 系统、Rollout 与分布式训练,原理推导,L3,normal,docs/08-rl-systems/q078-rl-memory-vs-sft.md,"P11,P12,P13,R1"
Q079,RL 训推分离如何设计？weight sync 的 trade-off 是什么？,8,RL 系统、Rollout 与分布式训练,系统设计,L4,normal,docs/08-rl-systems/q079-train-inference-disaggregation.md,"P11,P12,P13,R1"
Q080,公开真题：TRL、verl、OpenRLHF 这类框架应该理解到什么程度？,8,RL 系统、Rollout 与分布式训练,公开真题,L3,normal,docs/08-rl-systems/q080-trl-verl-openrlhf.md,"I6,P11,P12,P13,R1"
Q081,公开真题：怎么判断一次 RL 训练“质量达标”？,9,训练稳定性、评测与 Debug,公开真题,L3,normal,docs/09-eval-debug/q081-rl-training-quality-gate.md,"I7,P8,P9,P10"
Q082,Reward 一直涨但 benchmark 不涨，怎么排查？,9,训练稳定性、评测与 Debug,系统设计,L4,normal,docs/09-eval-debug/q082-reward-up-benchmark-flat.md,"P8,P9,P10"
Q083,KL 突然暴涨通常意味着什么？,9,训练稳定性、评测与 Debug,系统设计,L3,normal,docs/09-eval-debug/q083-kl-spike-debug.md,"P8,P9,P10"
Q084,Entropy 一路下降怎么办？,9,训练稳定性、评测与 Debug,系统设计,L3,normal,docs/09-eval-debug/q084-entropy-down-debug.md,"P8,P9,P10"
Q085,Reward variance 很大怎么办？,9,训练稳定性、评测与 Debug,系统设计,L3,normal,docs/09-eval-debug/q085-reward-variance-debug.md,"P8,P9,P10"
Q086,为什么离线 benchmark 不能完全代表线上？,9,训练稳定性、评测与 Debug,高频题,L2,normal,docs/09-eval-debug/q086-offline-vs-online-eval.md,"P8,P9,P10"
Q087,怎么做后训练 ablation 才可信？,9,训练稳定性、评测与 Debug,系统设计,L3,normal,docs/09-eval-debug/q087-post-training-ablation.md,"P8,P9,P10"
Q088,为什么 SFT 变好但 RL 可能变差？,9,训练稳定性、评测与 Debug,原理推导,L4,normal,docs/09-eval-debug/q088-sft-better-rl-worse.md,"P8,P9,P10"
Q089,如何构建 hard-example data flywheel？,9,训练稳定性、评测与 Debug,系统设计,L3,normal,docs/09-eval-debug/q089-hard-example-data-flywheel.md,"P8,P9,P10"
Q090,如何判断问题来自数据、算法还是系统实现？,9,训练稳定性、评测与 Debug,系统设计,L4,normal,docs/09-eval-debug/q090-data-vs-algorithm-vs-system.md,"P8,P9,P10"
Q091,公开真题：什么是 Agentic RL？与单轮 reasoning RL 的状态空间有何不同？,10,Agentic RL 与系统设计,公开真题,L3,normal,docs/10-agentic-rl/q091-agentic-rl-state-space.md,"I1,I7,P8,R1"
Q092,公开真题：Agentic RL 的 credit assignment 怎么做？,10,Agentic RL 与系统设计,公开真题,L4,normal,docs/10-agentic-rl/q092-agentic-credit-assignment.md,"I7,I8,P8,R1"
Q093,公开真题：Tool Calling / Function Calling 数据怎么构造？,10,Agentic RL 与系统设计,公开真题,L3,normal,docs/10-agentic-rl/q093-tool-calling-data.md,"P8,R1"
Q094,Agent reward 应如何设计？,10,Agentic RL 与系统设计,系统设计,L4,normal,docs/10-agentic-rl/q094-agent-reward-design.md,"P8,R1"
Q095,如何防止 Agent 为了 reward 无限调用工具或重复搜索？,10,Agentic RL 与系统设计,系统设计,L3,normal,docs/10-agentic-rl/q095-agent-tool-loop-hacking.md,"P8,R1"
Q096,Multi-turn RL 与 single-turn RL 最大区别是什么？,10,Agentic RL 与系统设计,原理推导,L3,normal,docs/10-agentic-rl/q096-multi-turn-vs-single-turn-rl.md,"P8,R1"
Q097,公开真题：长程任务为什么可能选 GRPO 而不是 PPO？,10,Agentic RL 与系统设计,公开真题,L4,normal,docs/10-agentic-rl/q097-long-horizon-grpo-vs-ppo.md,"I12,P8,R1"
Q098,如何给 Agent 过程打 reward，而不把探索路径写死？,10,Agentic RL 与系统设计,系统设计,L4,normal,docs/10-agentic-rl/q098-agent-process-reward.md,"P8,R1"
Q099,系统设计题：如果让你做一个 70B reasoning model 的完整 Post-Training pipeline？,10,Agentic RL 与系统设计,系统设计,L5,normal,docs/10-agentic-rl/q099-70b-post-training-pipeline.md,"P8,R1"
Q100,终极项目题：为什么你的项目选 GRPO/DAPO/GSPO，而不是 PPO/DPO？,10,Agentic RL 与系统设计,公开真题,L5,high,docs/10-agentic-rl/q100-algorithm-choice-project-defense.md,"I3,I7,I11,P8,R1"
